1,5,Kwartalnik,Kwartalnik C,6720,36
2,8,Dwutygodnik,Dwutygodnik U,13230,20
3,9,Tygodnik,Tygodnik Q,10640,14
4,11,Kwartalnik,Kwartalnik D,9310,43
5,9,Miesiecznik,Miesiecznik B,8750,19
6,6,Miesiecznik,Miesiecznik D,3990,28
7,6,Miesiecznik,Miesiecznik M,7140,23
8,4,Tygodnik,Tygodnik C,24570,12
9,3,Kwartalnik,Kwartalnik E,3500,36
10,9,Dwutygodnik,Dwutygodnik S,3640,24
11,5,Dwutygodnik,Dwutygodnik P,11340,20
12,7,Tygodnik,Tygodnik N,5460,9
13,2,Dwutygodnik,Dwutygodnik D,4200,25
14,9,Tygodnik,Tygodnik T,2660,10
15,5,Dziennik,Dziennik D,16240,13
16,10,Kwartalnik,Kwartalnik L,2100,30
17,6,Kwartalnik,Kwartalnik R,3080,36
18,7,Miesiecznik,Miesiecznik J,1680,19
19,10,Dwutygodnik,Dwutygodnik O,8680,21
20,6,Dziennik,Dziennik I,15120,13
21,8,Dwutygodnik,Dwutygodnik U,2310,27
